PLUGIN_ID,NAME,SEGMENT_CALCD_VIEWS,PRODUCT_CALCD_VIEWS
732603254453395948,Stark,123611,3982004
736084415195819692,Tumble,6893,229306
733590967040604714,Brandfetch,48123,1570450
737785608534801116,Darkly,261,7869
737768108084006617,YouTube Data,409,11720
741413612560725424,Paste to Mask,1385,59906
739739050044773150,RTL support,13512,439240
735930163317839526,❖ Mapshot,167,4719
745971189153303901,Wave & Сurve,35010,1141819
747902424402197174,Pseudolocalization (alpha),25,822
770803051983491413,Events (beta),3,16
781591244449826498,Easing Gradient,13998,471883
746805909751572002,Smart Cloner,2666,101522
746849770992339499,Safely Delete Components,5795,211197
751595370037253435,❖ Linter: Where Base detached?,49,1502
884623061894876551,ArabicType,15,365
772952119002135124,Minimap,12227,460042
789947684929583763,Principles: Create Branch Page,21,506
793023817364007801,LaTeX Complete,1594,70832
797696673804519719,Color Kit,20468,656295
810281473366514602,YouTube Color Sampling,306,8936
849406175774776815,Logos,95,2870
809356678361041668,Главред,3227,124606
776033210163988440,Thrshold,3921,140632
776155471423309799,Figma Sheets,2491,94360
797015796747379907,Theme UI,6876,257173
799361006626561487,Fast Copy,1416,58810
842538740516209932,Android WebP Generator,2714,94750
816737626312049592,Export styles to CSS variables,4464,170538
820311256083321341,Timer,19743,927010
821454917506828941,Dice,2533,96414
795096273369409539,Status Annotations,15876,519454
836326694968364056,Scale,14778,465659
826695732068751801,Bookmarks,960,48331
815889316898860859,GridMod | Modify GridGen Tables Effortlessly,2504,99273
829960894114212812,Frames Tag,1512,72205
827796798859685469,Import from Style Dictionary,6,395
832014984944181545,Status Annotations,148,6166
834722635660200680,Colors → Code,3230,121152
838752837372119505,Search & Focus,3461,127185
851826046590087039,Pool - Staging,111,2358
844939343179979517,Above The Fold,10548,308695
848213394889830726,Deliveroo — Live Data,22,649
862818788004280193,Toolabs Design System Manager,10328,318094
840727678445998968,Responsive,18954,684862
879808647269226079,FilterTextLayers,1032,39038
878191016579564570,Images Cleanup,21,472
882494270063444556,Raven | Document & Track Designs,2028,85510
892651953434747722,Asset Localization,64,1595
892854133443228626,Phosphor Icons,15,508
907888805660596065,SBOL Typograph,6418,209698
908327335402084440,Rough,3254,117842
910906986446397866,Test plugin based on React Sample,6,216
900484667691435460,Abstract Notebooks,4276,160748
996550027212457813,Gusto Starter Template,4,160
910671699871076601,Emailify HTML Email Builder,14697,498788
940876476697459099,Indoor Schemes,1688,36872
938793197191698232,Code Syntax Highlighter,1490,55710
939838999371074684,Buoy,124,5746
940989130927509964,Elevation Scale,2876,104263
945963522735571710,Convert Instances to Variants,3,138
959717354535105287,test-test-test,1,29
814965119375179461,Color Contrast Accessibility (Beta),194,4631
780947947828574828,Video Cover,13466,438895
797369763563831541,Android Vector Drawable,10383,366340
750394507756587098,Resize Commands,786,38123
778214483845752042,WebTranslateIt,5,233
791262205400516364,Theemo - Style Automator,3014,119751
813970431341620710,Team Library Component Browser,5909,194234
832187928803784001,CopyPasteSVG,7,217
841640876646198310,Postmaster Toolkit (Beta),14,626
